version,1,startTime,2025-12-21 22:01:56.672,screenWidth,1920,screenHeight,1080
Event(uint),MsgID(hex),Time(uint),VkCode(hex),ScanCode(hex),Flags(hex)
0,100,562186000,53,1f,0
1,101,562186156,53,1f,80
2,100,562193203,53,1f,0
3,101,562193343,53,1f,80
4,100,562193531,41,1e,0
5,101,562193718,41,1e,80
6,100,562194078,53,1f,0
7,100,562194078,8,e,10
8,101,562194078,8,e,90
9,100,562194078,e7,e1,10
10,101,562194078,e7,e1,90
11,100,562194140,41,1e,0
12,100,562194140,8,e,10
13,101,562194140,8,e,90
14,100,562194140,e7,1ea5,10
15,101,562194140,e7,1ea5,90
16,101,562194203,53,1f,80
17,101,562194484,41,1e,80
18,100,562194531,44,20,0
19,101,562194640,44,20,80
20,100,562194671,41,1e,0
21,100,562194828,44,20,0
22,101,562194937,41,1e,80
23,101,562195000,44,20,80
24,100,562195078,41,1e,0
25,100,562195250,44,20,0
26,101,562195390,44,20,80
27,101,562195546,41,1e,80
28,100,562195640,53,1f,0
29,101,562195796,53,1f,80
30,100,562196171,41,1e,0
31,100,562196453,44,20,0
32,101,562196484,41,1e,80
33,100,562196593,41,1e,0
34,101,562196625,44,20,80
35,100,562196734,44,20,0
36,101,562196765,41,1e,80
37,100,562196796,48,23,0
38,100,562196875,41,1e,0
39,101,562196906,44,20,80
40,101,562196906,48,23,80
41,100,562196921,4a,24,0
42,100,562197000,44,20,0
43,101,562197015,41,1e,80
44,100,562197031,48,23,0
45,101,562197031,4a,24,80
46,101,562197109,48,23,80
47,100,562197109,4a,24,0
48,100,562197109,4b,25,0
49,100,562197109,41,1e,0
50,100,562197140,53,1f,0
51,101,562197140,44,20,80
52,101,562197187,4b,25,80
53,100,562197187,48,23,0
54,101,562197203,4a,24,80
55,101,562197218,41,1e,80
56,100,562197234,44,20,0
57,101,562197250,53,1f,80
58,101,562197281,48,23,80
59,100,562197281,4a,24,0
60,100,562197281,4b,25,0
61,100,562197328,41,1e,0
62,100,562197343,53,1f,0
63,101,562197359,44,20,80
64,100,562197359,48,23,0
65,101,562197359,4a,24,80
66,101,562197375,4b,25,80
67,101,562197437,41,1e,80
68,100,562197437,44,20,0
69,101,562197468,48,23,80
70,101,562197468,53,1f,80
71,100,562197468,4a,24,0
72,100,562197484,4b,25,0
73,100,562197531,53,1f,0
74,101,562197531,4b,25,80
75,100,562197531,41,1e,0
76,101,562197546,4a,24,80
77,100,562197546,48,23,0
78,101,562197546,44,20,80
79,101,562197625,48,23,80
80,101,562197625,41,1e,80
81,100,562197640,4a,24,0
82,100,562197640,4b,25,0
83,100,562197656,44,20,0
84,101,562197671,53,1f,80
85,101,562197703,4b,25,80
86,101,562197718,4a,24,80
87,100,562197734,41,1e,0
88,100,562197750,53,1f,0
89,101,562197750,44,20,80
90,101,562197843,41,1e,80
91,101,562197843,53,1f,80
92,100,562197843,43,2e,0
93,100,562197937,42,30,0
94,100,562197953,41,1e,0
95,100,562197953,53,1f,0
96,101,562197968,43,2e,80
97,101,562197984,42,30,80
98,101,562198062,41,1e,80
99,100,562198062,43,2e,0
100,100,562198078,42,30,0
101,101,562198093,53,1f,80
102,100,562198156,41,1e,0
103,101,562198171,42,30,80
104,100,562198171,4a,24,0
105,100,562198171,4b,25,0
106,100,562198171,53,1f,0
107,101,562198187,43,2e,80
108,101,562198234,4b,25,80
109,101,562198250,4a,24,80
110,100,562198265,42,30,0
111,101,562198265,41,1e,80
112,100,562198265,43,2e,0
113,101,562198296,53,1f,80
114,101,562198359,42,30,80
115,100,562198359,4a,24,0
116,100,562198359,4b,25,0
117,100,562198375,41,1e,0
118,100,562198375,53,1f,0
119,101,562198375,43,2e,80
120,101,562198421,4b,25,80
121,101,562198437,4a,24,80
122,100,562198453,42,30,0
123,101,562198484,41,1e,80
124,100,562198484,43,2e,0
