version = 1
startTime = 2025-12-13 08:57:01.091
screenWidth = 1920
screenHeight = 1080
----------------------------------------
Event 0: MsgID=512, Time=235896812, X=512, Y=512, MouseData=0, Flags=0, TimeStamp=235896812
Event 1: MsgID=512, Time=235896812, X=1887, Y=2143, MouseData=0, Flags=0, TimeStamp=235896812
Event 2: MsgID=512, Time=235896828, X=1886, Y=2143, MouseData=0, Flags=0, TimeStamp=235896828
Event 3: MsgID=512, Time=235896828, X=1882, Y=2141, MouseData=0, Flags=0, TimeStamp=235896828
Event 4: MsgID=512, Time=235896843, X=1878, Y=2140, MouseData=0, Flags=0, TimeStamp=235896843
Event 5: MsgID=512, Time=235896859, X=1874, Y=2138, MouseData=0, Flags=0, TimeStamp=235896859
Event 6: MsgID=512, Time=235896859, X=1868, Y=2135, MouseData=0, Flags=0, TimeStamp=235896859
Event 7: MsgID=512, Time=235896875, X=1863, Y=2133, MouseData=0, Flags=0, TimeStamp=235896875
Event 8: MsgID=512, Time=235896875, X=1857, Y=2131, MouseData=0, Flags=0, TimeStamp=235896875
Event 9: MsgID=512, Time=235896890, X=1851, Y=2129, MouseData=0, Flags=0, TimeStamp=235896890
Event 10: MsgID=512, Time=235896890, X=1845, Y=2125, MouseData=0, Flags=0, TimeStamp=235896890
Event 11: MsgID=512, Time=235896906, X=1838, Y=2123, MouseData=0, Flags=0, TimeStamp=235896906
Event 12: MsgID=512, Time=235896906, X=1831, Y=2119, MouseData=0, Flags=0, TimeStamp=235896906
Event 13: MsgID=512, Time=235896921, X=1825, Y=2117, MouseData=0, Flags=0, TimeStamp=235896921
Event 14: MsgID=512, Time=235896921, X=1818, Y=2113, MouseData=0, Flags=0, TimeStamp=235896921
Event 15: MsgID=512, Time=235896937, X=1811, Y=2111, MouseData=0, Flags=0, TimeStamp=235896937
Event 16: MsgID=512, Time=235896937, X=1803, Y=2107, MouseData=0, Flags=0, TimeStamp=235896937
Event 17: MsgID=512, Time=235896953, X=1798, Y=2105, MouseData=0, Flags=0, TimeStamp=235896953
Event 18: MsgID=512, Time=235896953, X=1792, Y=2102, MouseData=0, Flags=0, TimeStamp=235896953
Event 19: MsgID=512, Time=235896968, X=1788, Y=2100, MouseData=0, Flags=0, TimeStamp=235896968
Event 20: MsgID=512, Time=235896968, X=1785, Y=2099, MouseData=0, Flags=0, TimeStamp=235896968
Event 21: MsgID=512, Time=235896984, X=1782, Y=2097, MouseData=0, Flags=0, TimeStamp=235896984
Event 22: MsgID=512, Time=235896984, X=1780, Y=2095, MouseData=0, Flags=0, TimeStamp=235896984
Event 23: MsgID=512, Time=235897000, X=1779, Y=2094, MouseData=0, Flags=0, TimeStamp=235897000
Event 24: MsgID=512, Time=235897000, X=1777, Y=2092, MouseData=0, Flags=0, TimeStamp=235897000
Event 25: MsgID=512, Time=235897015, X=1776, Y=2092, MouseData=0, Flags=0, TimeStamp=235897015
Event 26: MsgID=512, Time=235897015, X=1776, Y=2091, MouseData=0, Flags=0, TimeStamp=235897015
Event 27: MsgID=512, Time=235897031, X=1775, Y=2090, MouseData=0, Flags=0, TimeStamp=235897031
Event 28: MsgID=512, Time=235897031, X=1774, Y=2089, MouseData=0, Flags=0, TimeStamp=235897031
Event 29: MsgID=512, Time=235897046, X=1773, Y=2089, MouseData=0, Flags=0, TimeStamp=235897046
Event 30: MsgID=512, Time=235897046, X=1773, Y=2089, MouseData=0, Flags=0, TimeStamp=235897046
Event 31: MsgID=512, Time=235897062, X=1772, Y=2088, MouseData=0, Flags=0, TimeStamp=235897062
Event 32: MsgID=512, Time=235897062, X=1771, Y=2087, MouseData=0, Flags=0, TimeStamp=235897062
Event 33: MsgID=512, Time=235897078, X=1771, Y=2086, MouseData=0, Flags=0, TimeStamp=235897078
Event 34: MsgID=512, Time=235897078, X=1769, Y=2085, MouseData=0, Flags=0, TimeStamp=235897078
Event 35: MsgID=512, Time=235897093, X=1768, Y=2084, MouseData=0, Flags=0, TimeStamp=235897093
Event 36: MsgID=512, Time=235897093, X=1767, Y=2083, MouseData=0, Flags=0, TimeStamp=235897093
Event 37: MsgID=512, Time=235897109, X=1765, Y=2082, MouseData=0, Flags=0, TimeStamp=235897109
Event 38: MsgID=512, Time=235897109, X=1764, Y=2081, MouseData=0, Flags=0, TimeStamp=235897109
Event 39: MsgID=512, Time=235897125, X=1762, Y=2079, MouseData=0, Flags=0, TimeStamp=235897125
Event 40: MsgID=512, Time=235897125, X=1761, Y=2078, MouseData=0, Flags=0, TimeStamp=235897125
Event 41: MsgID=512, Time=235897140, X=1759, Y=2077, MouseData=0, Flags=0, TimeStamp=235897140
Event 42: MsgID=512, Time=235897140, X=1757, Y=2074, MouseData=0, Flags=0, TimeStamp=235897140
Event 43: MsgID=512, Time=235897156, X=1755, Y=2072, MouseData=0, Flags=0, TimeStamp=235897156
Event 44: MsgID=512, Time=235897171, X=1754, Y=2070, MouseData=0, Flags=0, TimeStamp=235897171
Event 45: MsgID=512, Time=235897171, X=1751, Y=2067, MouseData=0, Flags=0, TimeStamp=235897171
Event 46: MsgID=512, Time=235897187, X=1749, Y=2066, MouseData=0, Flags=0, TimeStamp=235897187
Event 47: MsgID=512, Time=235897187, X=1746, Y=2063, MouseData=0, Flags=0, TimeStamp=235897187
Event 48: MsgID=512, Time=235897203, X=1743, Y=2060, MouseData=0, Flags=0, TimeStamp=235897203
Event 49: MsgID=512, Time=235897203, X=1741, Y=2057, MouseData=0, Flags=0, TimeStamp=235897203
Event 50: MsgID=512, Time=235897218, X=1738, Y=2054, MouseData=0, Flags=0, TimeStamp=235897218
Event 51: MsgID=512, Time=235897218, X=1736, Y=2052, MouseData=0, Flags=0, TimeStamp=235897218
Event 52: MsgID=512, Time=235897218, X=1733, Y=2049, MouseData=0, Flags=0, TimeStamp=235897218
Event 53: MsgID=512, Time=235897234, X=1731, Y=2047, MouseData=0, Flags=0, TimeStamp=235897234
Event 54: MsgID=512, Time=235897234, X=1728, Y=2044, MouseData=0, Flags=0, TimeStamp=235897234
Event 55: MsgID=512, Time=235897250, X=1723, Y=2039, MouseData=0, Flags=0, TimeStamp=235897250
Event 56: MsgID=512, Time=235897250, X=1721, Y=2036, MouseData=0, Flags=0, TimeStamp=235897250
Event 57: MsgID=512, Time=235897265, X=1716, Y=2032, MouseData=0, Flags=0, TimeStamp=235897265
Event 58: MsgID=512, Time=235897281, X=1713, Y=2029, MouseData=0, Flags=0, TimeStamp=235897281
Event 59: MsgID=512, Time=235897281, X=1709, Y=2024, MouseData=0, Flags=0, TimeStamp=235897281
