version,1,startTime,2025-12-30 13:08:17.330,screenWidth,1920,screenHeight,1080
Event(uint),MsgID(hex),Time(uint),X(int),Y(int),MouseData(hex)
0,200,517895203,649,986,0
1,200,517895203,646,988,0
2,200,517895218,643,990,0
3,200,517895234,640,993,0
4,200,517895234,636,995,0
5,200,517895250,632,998,0
6,200,517895265,629,1001,0
7,200,517895265,625,1003,0
8,200,517895281,622,1006,0
9,200,517895296,619,1007,0
10,200,517895296,617,1008,0
11,200,517895312,615,1010,0
12,200,517895328,613,1011,0
13,200,517895328,611,1012,0
14,200,517895343,610,1013,0
15,200,517895343,609,1014,0
16,200,517895359,607,1014,0
17,200,517895375,607,1015,0
18,200,517895375,605,1016,0
19,200,517895390,604,1016,0
20,200,517895406,603,1017,0
21,200,517895406,602,1017,0
22,200,517895421,601,1018,0
23,200,517895437,601,1019,0
24,200,517895437,600,1019,0
25,200,517895453,599,1019,0
26,200,517895468,598,1019,0
27,200,517895484,598,1020,0
28,200,517895500,597,1020,0
29,200,517895531,597,1021,0
30,200,517895546,596,1021,0
31,200,517895578,596,1021,0
32,200,517895609,595,1021,0
33,200,517895625,594,1021,0
34,200,517895640,593,1022,0
35,200,517895640,589,1023,0
36,200,517895656,580,1024,0
37,200,517895671,571,1026,0
38,200,517895671,564,1029,0
39,200,517895687,559,1030,0
40,200,517895703,553,1031,0
41,200,517895703,551,1032,0
42,200,517895718,547,1033,0
43,200,517895718,544,1034,0
44,200,517895734,541,1035,0
45,200,517895750,539,1036,0
46,200,517895750,536,1036,0
47,200,517895765,534,1036,0
48,200,517895781,532,1037,0
49,200,517895781,531,1038,0
50,200,517895796,529,1038,0
51,200,517895812,527,1039,0
52,200,517895812,527,1040,0
53,200,517895828,525,1040,0
54,200,517895843,525,1040,0
55,200,517895843,524,1040,0
56,200,517895859,523,1041,0
57,200,517895875,522,1042,0
58,200,517895875,521,1043,0
59,200,517895890,520,1043,0
60,200,517895906,519,1044,0
61,200,517895906,519,1045,0
62,200,517895921,518,1046,0
63,200,517895921,517,1046,0
64,200,517895937,517,1047,0
65,200,517895953,517,1048,0
66,200,517895968,516,1048,0
67,200,517895984,516,1049,0
68,200,517896015,516,1050,0
69,200,517896031,516,1050,0
70,200,517896046,516,1051,0
71,200,517896062,516,1051,0
72,200,517896078,516,1051,0
73,200,517896078,517,1051,0
74,200,517896125,518,1051,0
75,200,517896218,518,1051,0
76,201,517896859,518,1051,0
77,202,517896859,518,1051,0
78,200,517897234,532,1022,0
79,200,517897250,552,980,0
80,200,517897265,573,931,0
81,200,517897265,601,884,0
82,200,517897281,634,837,0
83,200,517897296,670,789,0
84,200,517897296,708,746,0
85,200,517897312,745,707,0
86,200,517897328,777,674,0
87,200,517897328,813,644,0
88,200,517897343,847,618,0
89,200,517897343,879,592,0
90,200,517897359,909,572,0
91,200,517897375,924,560,0
92,200,517897375,939,548,0
93,200,517897390,950,540,0
94,200,517897406,959,532,0
95,200,517897406,965,526,0
96,200,517897421,970,522,0
97,200,517897437,974,518,0
98,200,517897437,976,516,0
99,200,517897453,978,514,0
100,200,517897468,978,513,0
101,200,517897468,979,512,0
102,200,517897484,979,512,0
103,200,517897750,969,512,0
104,200,517897765,955,512,0
105,200,517897781,942,512,0
106,200,517897781,929,513,0
107,200,517897796,919,513,0
108,200,517897812,908,515,0
109,200,517897812,902,515,0
110,200,517897828,898,516,0
111,200,517897843,894,516,0
112,200,517897843,891,516,0
113,200,517897859,890,516,0
114,200,517897875,888,516,0
115,200,517897875,887,516,0
116,200,517897906,887,516,0
117,200,517897921,886,516,0
118,201,517898078,886,516,0
119,202,517898093,886,516,0
120,200,517898890,876,489,0
121,200,517898906,861,451,0
122,200,517898906,848,410,0
123,200,517898921,835,365,0
124,200,517898937,824,319,0
125,200,517898937,815,269,0
126,200,517898953,806,222,0
127,200,517898968,801,174,0
128,200,517898968,797,128,0
129,200,517898984,795,84,0
130,200,517899000,795,67,0
131,200,517899000,795,51,0
132,200,517899015,795,39,0
133,200,517899031,795,31,0
134,200,517899031,795,25,0
135,200,517899046,795,23,0
136,200,517906156,779,49,0
137,200,517906171,757,86,0
138,200,517906187,735,125,0
139,200,517906187,714,159,0
140,200,517906203,698,192,0
141,200,517906218,688,214,0
142,200,517906218,681,229,0
143,200,517906234,674,245,0
144,200,517906250,668,259,0
145,200,517906250,662,274,0
146,200,517906265,658,288,0
147,200,517906281,654,298,0
148,200,517906281,652,310,0
149,200,517906296,649,319,0
150,200,517906312,647,328,0
151,200,517906312,647,334,0
152,200,517906328,646,340,0
153,200,517906328,646,343,0
154,200,517906343,646,344,0
155,200,517906625,642,359,0
156,200,517906625,638,374,0
157,200,517906640,631,389,0
158,200,517906656,627,402,0
159,200,517906656,621,415,0
160,200,517906671,617,427,0
161,200,517906687,612,440,0
162,200,517906687,608,450,0
163,200,517906703,604,459,0
164,200,517906703,602,466,0
165,200,517906718,599,472,0
166,200,517906734,597,478,0
167,200,517906734,596,481,0
168,200,517906750,595,484,0
169,200,517906765,594,487,0
170,200,517906765,594,488,0
171,200,517906781,594,489,0
172,200,517906796,594,490,0
173,200,517907718,582,520,0
174,200,517907734,562,562,0
175,200,517907734,544,607,0
176,200,517907750,528,649,0
177,200,517907750,512,700,0
178,200,517907765,496,751,0
179,200,517907781,484,801,0
180,200,517907781,475,851,0
181,200,517907796,469,893,0
182,200,517907812,467,928,0
183,200,517907812,466,943,0
184,200,517907828,466,957,0
185,200,517907843,466,967,0
186,200,517907843,467,975,0
187,200,517907859,469,981,0
188,200,517908125,469,991,0
189,200,517908140,468,1000,0
190,200,517908140,467,1005,0
191,200,517908156,466,1011,0
192,200,517908156,465,1016,0
193,200,517908171,464,1020,0
194,200,517908187,464,1024,0
195,200,517908187,464,1027,0
196,200,517908203,463,1030,0
197,200,517908218,463,1033,0
198,200,517908218,463,1035,0
199,200,517908234,463,1037,0
200,200,517908250,463,1039,0
201,200,517908250,463,1040,0
202,200,517908265,463,1042,0
203,200,517908281,463,1043,0
204,200,517908281,463,1044,0
205,200,517908296,463,1046,0
206,200,517908312,463,1047,0
207,200,517908312,463,1049,0
208,200,517908328,463,1050,0
209,200,517908343,463,1051,0
210,200,517908343,463,1053,0
211,200,517908359,463,1053,0
212,200,517908359,463,1055,0
213,200,517908375,463,1056,0
214,200,517908390,463,1056,0
215,200,517908406,463,1057,0
216,200,517908437,463,1058,0
217,200,517908468,463,1059,0
218,201,517908609,463,1059,0
219,202,517908609,463,1059,0
220,200,517908937,483,1050,0
221,200,517908953,499,1043,0
222,200,517908953,514,1036,0
223,200,517908968,528,1029,0
224,200,517908968,542,1024,0
225,200,517908984,554,1018,0
226,200,517909000,566,1014,0
227,200,517909000,577,1010,0
228,200,517909015,586,1006,0
229,200,517909031,594,1004,0
230,200,517909031,602,1000,0
231,200,517909046,609,998,0
232,200,517909062,616,995,0
233,200,517909062,622,993,0
234,200,517909078,625,992,0
235,200,517909093,628,991,0
236,200,517909093,631,989,0
237,200,517909109,633,988,0
238,200,517909125,635,988,0
239,200,517909125,636,987,0
240,200,517909140,638,987,0
241,200,517909156,640,986,0
242,200,517909156,640,985,0
243,200,517909171,641,985,0
244,200,517909171,642,984,0
245,200,517909187,643,984,0
246,200,517909203,643,984,0
247,200,517909218,643,984,0
248,200,517909234,644,984,0
249,200,517909250,645,984,0
250,200,517909265,645,983,0
251,200,517909281,645,983,0
252,200,517909296,646,983,0
253,200,517909328,647,983,0
254,200,517909609,647,983,0
255,200,517909671,647,983,0
256,201,517909984,647,983,0
257,202,517910015,647,983,0
