version,1,startTime,2025-12-16 00:46:36.386,screenWidth,1920,screenHeight,1080
Event,MsgID,Time,X,Y,MouseData
0,512,53660875,488,979,0
1,512,53660875,517,947,0
2,512,53660906,547,916,0
3,512,53660906,576,887,0
4,512,53660921,604,860,0
5,512,53660937,635,833,0
6,512,53660937,669,807,0
7,512,53660953,699,782,0
8,512,53660968,727,759,0
9,512,53660968,755,738,0
10,512,53660984,777,721,0
11,512,53660984,792,709,0
12,512,53661000,804,699,0
13,512,53661000,811,693,0
14,512,53661015,817,689,0
15,512,53661031,821,686,0
16,512,53661031,822,685,0
17,512,53661046,824,684,0
18,512,53661046,824,683,0
19,512,53661078,824,682,0
20,512,53661078,824,682,0
21,512,53661109,822,686,0
22,512,53661109,808,700,0
23,512,53661109,790,718,0
24,512,53661140,769,739,0
25,512,53661140,746,760,0
26,512,53661156,723,782,0
27,512,53661171,697,806,0
28,512,53661171,670,832,0
29,512,53661187,647,856,0
30,512,53661187,627,879,0
31,512,53661203,613,896,0
32,512,53661218,604,906,0
33,512,53661218,598,914,0
34,512,53661234,594,920,0
35,512,53661250,591,922,0
36,512,53661250,590,924,0
37,512,53661265,589,926,0
38,512,53661281,589,926,0
39,512,53661281,589,927,0
40,512,53661296,591,927,0
41,512,53661312,608,915,0
42,512,53661312,633,895,0
43,512,53661343,666,871,0
44,512,53661343,699,845,0
45,512,53661359,732,820,0
46,512,53661359,763,796,0
47,512,53661375,788,778,0
48,512,53661390,805,764,0
49,512,53661390,816,757,0
50,512,53661406,822,752,0
51,512,53661406,826,748,0
52,512,53661421,828,746,0
53,512,53661437,830,745,0
54,512,53661453,830,745,0
55,512,53661453,830,744,0
56,512,53661468,825,746,0
57,512,53661484,807,757,0
58,512,53661500,783,771,0
59,512,53661500,756,786,0
60,512,53661515,729,803,0
61,512,53661531,699,822,0
62,512,53661531,672,843,0
63,512,53661546,647,861,0
64,512,53661562,635,871,0
65,512,53661562,625,879,0
66,512,53661578,619,885,0
67,512,53661593,615,888,0
68,512,53661593,613,891,0
69,512,53661609,612,892,0
70,512,53661625,611,893,0
71,512,53661625,611,893,0
72,512,53661640,611,894,0
73,512,53661656,611,894,0
74,512,53661671,623,890,0
75,512,53661687,646,879,0
76,512,53661687,675,864,0
77,512,53661703,709,847,0
78,512,53661703,749,827,0
79,512,53661718,794,805,0
80,512,53661734,841,786,0
81,512,53661734,888,764,0
82,512,53661750,929,749,0
83,512,53661765,963,735,0
84,512,53661765,980,728,0
85,512,53661781,990,725,0
86,512,53661781,997,723,0
87,512,53661796,1001,721,0
88,512,53661812,1004,720,0
89,512,53661812,1006,720,0
90,512,53661828,1006,720,0
91,512,53661843,1006,720,0
92,512,53661859,1002,723,0
93,512,53661859,993,729,0
94,512,53661890,984,733,0
95,512,53661890,972,737,0
96,512,53661906,962,741,0
97,512,53661921,951,746,0
