Event(uint),MsgID(hex),Time(uint),X(int),Y(int),MouseData(hex)
1283,200,13013296,643,437,0
1284,200,13013312,643,437,0
1285,200,13013328,643,436,0
1286,200,13013343,643,436,0
1288,200,13013359,643,434,0
1287,200,13013359,643,435,0
1289,200,13013375,644,433,0
1290,200,13013375,644,433,0
1292,200,13013390,647,429,0
1291,200,13013390,645,431,0
1294,200,13013406,652,423,0
1293,200,13013406,649,427,0
1296,200,13013421,660,415,0
1295,200,13013421,655,420,0
1297,200,13013437,666,410,0
1298,200,13013437,674,405,0
1300,200,13013453,690,392,0
1299,200,13013453,681,398,0
1302,200,13013468,711,376,0
1301,200,13013468,700,385,0
1304,200,13013484,741,356,0
1303,200,13013484,725,367,0
1305,200,13013500,760,345,0
1306,200,13013500,781,333,0
1308,200,13013515,824,308,0
1307,200,13013515,802,320,0
1310,200,13013531,866,284,0
1309,200,13013531,845,296,0
1312,200,13013546,908,260,0
1311,200,13013546,890,272,0
1313,200,13013562,930,246,0
1314,200,13013562,949,234,0
1316,200,13013578,983,215,0
1315,200,13013578,967,225,0
1317,200,13013593,997,207,0
1319,200,13013609,1017,192,0
1318,200,13013609,1008,199,0
1321,200,13013625,1030,182,0
1320,200,13013625,1025,186,0
1322,200,13013640,1035,178,0
1323,200,13013640,1037,175,0
1325,200,13013656,1040,172,0
1324,200,13013656,1039,173,0
1327,200,13013671,1040,171,0
1326,200,13013671,1040,171,0
1329,200,13013687,1040,169,0
1328,200,13013687,1040,170,0
1330,200,13013703,1040,169,0
1331,200,13013703,1040,168,0
1333,200,13013718,1040,167,0
1332,200,13013718,1040,168,0
1335,200,13013734,1040,164,0
1334,200,13013734,1040,165,0
1337,200,13013750,1040,160,0
1336,200,13013750,1040,163,0
1338,200,13013765,1039,157,0
1339,200,13013765,1037,151,0
1341,200,13013781,1034,141,0
1340,200,13013781,1036,146,0
1343,200,13013796,1031,132,0
1342,200,13013796,1032,136,0
1345,200,13013812,1026,121,0
1344,200,13013812,1028,127,0
1346,200,13013828,1023,116,0
1347,200,13013828,1021,112,0
1349,200,13013843,1015,102,0
1348,200,13013843,1018,107,0
1350,200,13013859,1012,99,0
1352,200,13013875,1006,92,0
1353,200,13013875,1002,89,0
1351,200,13013875,1008,95,0
1354,200,13013890,1000,88,0
1355,200,13013890,997,85,0
1357,200,13013906,991,82,0
1356,200,13013906,994,84,0
1358,200,13013921,989,81,0
1360,200,13013937,985,78,0
1359,200,13013937,987,79,0
1362,200,13013953,982,75,0
1361,200,13013953,983,76,0
1363,200,13013968,979,74,0
1364,200,13013968,978,73,0
1366,200,13013984,975,70,0
1365,200,13013984,977,71,0
1368,200,13014000,972,67,0
1367,200,13014000,974,69,0
1370,200,13014015,967,63,0
1369,200,13014015,969,66,0
1371,200,13014031,964,62,0
1372,200,13014031,961,60,0
1374,200,13014046,956,58,0
1373,200,13014046,958,58,0
1376,200,13014062,950,55,0
1375,200,13014062,953,56,0
1378,200,13014078,945,55,0
1377,200,13014078,948,55,0
1380,200,13014093,943,54,0
1379,200,13014093,943,55,0
1381,200,13014109,942,54,0
1382,200,13014109,942,54,0
1383,200,13014125,941,54,0
1385,200,13014140,940,53,0
1384,200,13014140,940,54,0
1386,200,13014156,939,53,0
1387,200,13014171,939,53,0
1388,200,13014187,938,53,0
1389,200,13014296,938,53,0
1390,200,13014328,937,53,0
1391,200,13014343,937,53,0
1392,200,13014359,936,52,0
